prune_fraction,model,label,threshold,total,n_pruned,n_kept,total_positive,total_negative,positives_kept,positives_pruned,negatives_kept,negatives_pruned,kept_positive_rate,removed_negative_rate,positive_loss,kept_negative_rate
0.15,finetuned_qualt5,QualT5-Finetuned,-1.5600895881652832,8841823,1326273,7515550,63788,8778035,61222,2566,7454328,1323707,0.9597729980560608,0.15079764434751058,0.0402270019439393,0.8492023556524895
0.25,finetuned_qualt5,QualT5-Finetuned,-1.2179369926452637,8841823,2210456,6631367,63788,8778035,58378,5410,6572989,2205046,0.9151878096193642,0.25120041102593005,0.08481219038063585,0.74879958897407
0.3,finetuned_qualt5,QualT5-Finetuned,-1.0961511135101318,8841823,2652547,6189276,63788,8778035,56705,7083,6132571,2645464,0.8889603060136703,0.30137314330599047,0.11103969398632972,0.6986268566940096
0.45,finetuned_qualt5,QualT5-Finetuned,-0.8237453103065491,8841823,3978820,4863003,63788,8778035,50336,13452,4812667,3965368,0.7891139399260049,0.451737547184535,0.2108860600739951,0.5482624528154649
0.15,metadata_qualt5_concat_v2,Metadata-QualT5-CONCAT-V2,-2.2201993465423584,8841823,1326273,7515550,63788,8778035,61268,2520,7454282,1323753,0.9604941368282436,0.15080288470027745,0.039505863171756445,0.8491971152997225
0.25,metadata_qualt5_concat_v2,Metadata-QualT5-CONCAT-V2,-1.6814321279525757,8841823,2210456,6631367,63788,8778035,58448,5340,6572919,2205116,0.9162851947074685,0.2512083854757927,0.08371480529253152,0.7487916145242073
0.3,metadata_qualt5_concat_v2,Metadata-QualT5-CONCAT-V2,-1.4834699630737305,8841823,2652547,6189276,63788,8778035,56757,7031,6132519,2645516,0.8897755063648335,0.30137906718303126,0.1102244936351665,0.6986209328169687
0.45,metadata_qualt5_concat_v2,Metadata-QualT5-CONCAT-V2,-1.0361148118972778,8841823,3978820,4863003,63788,8778035,50357,13431,4812646,3965389,0.7894431554524362,0.4517399395194938,0.2105568445475638,0.5482600604805061
0.15,metadata_qualt5_allmetapj,Metadata-QualT5-ALLMETAPJ,-2.5055689811706543,8841823,1326273,7515550,63788,8778035,61113,2675,7454437,1323598,0.958064212704584,0.15078522698986732,0.04193578729541607,0.8492147730101327
0.25,metadata_qualt5_allmetapj,Metadata-QualT5-ALLMETAPJ,-1.5545774698257446,8841823,2210456,6631367,63788,8778035,58129,5659,6573238,2204797,0.9112842540916787,0.25117204476856153,0.08871574590832132,0.7488279552314385
0.3,metadata_qualt5_allmetapj,Metadata-QualT5-ALLMETAPJ,-1.2212392091751099,8841823,2652547,6189276,63788,8778035,56336,7452,6132940,2645095,0.8831755189063774,0.3013311065631431,0.11682448109362263,0.6986688934368569
0.45,metadata_qualt5_allmetapj,Metadata-QualT5-ALLMETAPJ,-0.5795794129371643,8841823,3978820,4863003,63788,8778035,49447,14341,4813556,3964479,0.7751771493070797,0.4516362716712795,0.2248228506929203,0.5483637283287205
0.15,metadata_qualt5_attfus,Metadata-QualT5-ATTFUS,-2.897294044494629,8841823,1326273,7515550,63788,8778035,61243,2545,7454307,1323728,0.960102213582492,0.15080003668246936,0.039897786417508,0.8491999633175307
0.25,metadata_qualt5_attfus,Metadata-QualT5-ATTFUS,-2.1342978477478027,8841823,2210456,6631367,63788,8778035,58307,5481,6573060,2204975,0.9140747476014297,0.2511923226553551,0.08592525239857027,0.7488076773446449
0.3,metadata_qualt5_attfus,Metadata-QualT5-ATTFUS,-1.8400923013687134,8841823,2652547,6189276,63788,8778035,56500,7288,6132776,2645259,0.8857465353985076,0.30134978955996417,0.11425346460149244,0.6986502104400358
0.45,metadata_qualt5_attfus,Metadata-QualT5-ATTFUS,-1.1590158939361572,8841823,3978820,4863003,63788,8778035,49709,14079,4813294,3964741,0.779284504922556,0.45166611889790825,0.22071549507744403,0.5483338811020918
