scorer,threshold,pruning_percent,pipeline,metric,mean_full,mean_pruned,mean_diff_pruned_minus_full,p_noninferiority,lower_bound_absolute,retained_for_plot,config_id
itn,0.15,15.0,BM25,RR@10,0.1842761631873379,0.1809292991313048,-0.0033468640560331,0.0135173118318423,-0.0092138081593668,True,itn | BM25 | RR@10 | thr=0.15
qualt5,0.15,15.0,BM25,RR@10,0.1842761631873379,0.1959738709237276,0.0116977077363896,6.81900302340705e-18,-0.0092138081593668,True,qualt5 | BM25 | RR@10 | thr=0.15
qualt5,0.15,15.0,BM25,nDCG@10,0.2299347532023317,0.239823368887912,0.0098886156855802,5.229788136947332e-20,-0.0114967376601165,True,qualt5 | BM25 | nDCG@10 | thr=0.15
qualt5,0.15,15.0,BM25,R@100,0.6777578796561604,0.6546561604584528,-0.0231017191977077,0.0009254228974238,-0.033887893982808,True,qualt5 | BM25 | R@100 | thr=0.15
qualt5,0.15,15.0,SPLADE,RR@10,0.2969339837176513,0.286637217446673,-0.0102967662709783,0.0009773547429706,-0.0148466991858825,True,qualt5 | SPLADE | RR@10 | thr=0.15
qualt5,0.15,15.0,SPLADE,nDCG@10,0.3525535290063942,0.3392054938644724,-0.0133480351419217,0.0025843240110689,-0.0176276764503197,True,qualt5 | SPLADE | nDCG@10 | thr=0.15
qualt5,0.15,15.0,TAS-B,RR@10,0.3472977213808159,0.334472642925365,-0.0128250784554509,0.004285980598975,-0.0173648860690407,True,qualt5 | TAS-B | RR@10 | thr=0.15
qualt5,0.15,15.0,TAS-B,nDCG@10,0.4106574638556805,0.3943198996648253,-0.0163375641908552,0.0085496954108423,-0.020532873192784,True,qualt5 | TAS-B | nDCG@10 | thr=0.15
qualt5,0.3,30.0,BM25,RR@10,0.1842761631873379,0.1943879337790512,0.0101117705917132,2.188764785652984e-11,-0.0092138081593668,True,qualt5 | BM25 | RR@10 | thr=0.3
qualt5,0.3,30.0,BM25,nDCG@10,0.2299347532023317,0.2354875031452233,0.0055527499428916,1.7667181820801351e-09,-0.0114967376601165,True,qualt5 | BM25 | nDCG@10 | thr=0.3
qualt5,0.45,45.0,BM25,RR@10,0.1842761631873379,0.1889589302769818,0.0046827670896438,1.2041761854942651e-05,-0.0092138081593668,True,qualt5 | BM25 | RR@10 | thr=0.45
qualt5,0.45,45.0,BM25,nDCG@10,0.2299347532023317,0.2257576562211014,-0.0041770969812302,0.0133934984408308,-0.0114967376601165,True,qualt5 | BM25 | nDCG@10 | thr=0.45
