scorer,threshold,pruning_percent,pipeline,metric,n_queries,mean_full,mean_pruned,mean_diff_pruned_minus_full,lower_bound_relative,lower_bound_absolute,upper_bound_absolute,ci95_low,ci95_high,p_noninferiority,t_noninferiority,passes_pruning_tost_p_lt_0.05,margin_respected_by_mean,margin_respected_by_ci
cdd,0.15,15.0,BM25,RR@10,6980,0.18427616318733797,0.16751455405466867,-0.0167616091326693,-0.05,-0.009213808159366899,1000000.0,-0.02236816921650487,-0.011155049048833729,0.995833808936585,-2.639048525642115,False,False,False
cdd,0.15,15.0,BM25,nDCG@10,6980,0.2299347532023317,0.20533929388448496,-0.024595459317846725,-0.05,-0.011496737660116586,1000000.0,-0.030231803330320023,-0.018959115305373427,0.9999973450091327,-4.5556970715974145,False,False,False
cdd,0.15,15.0,BM25,R@100,6980,0.6777578796561604,0.5707139446036295,-0.10704393505253106,-0.05,-0.033887893982808025,1000000.0,-0.1159534373700411,-0.09813443273502101,1.0,-16.096081661994486,False,False,False
cdd,0.15,15.0,SPLADE,RR@10,6980,0.29693398371765134,0.25488004275253556,-0.04205394096511575,-0.05,-0.014846699185882568,1000000.0,-0.047407992592332526,-0.03669988933789897,1.0,-9.96151465529609,False,False,False
cdd,0.15,15.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.3004916570363618,-0.052061871970032404,-0.05,-0.01762767645031971,1000000.0,-0.05762017867097147,-0.04650356526909334,1.0,-12.14425424941716,False,False,False
cdd,0.15,15.0,SPLADE,R@100,6980,0.8166905444126075,0.6897803247373447,-0.12691021967526267,-0.05,-0.04083452722063038,1000000.0,-0.13517707727251665,-0.11864336207800867,1.0,-20.410962525103223,False,False,False
cdd,0.15,15.0,TAS-B,RR@10,6980,0.3472977213808159,0.29809830809114474,-0.04919941328967117,-0.05,-0.017364886069040793,1000000.0,-0.055157635948804164,-0.04324119063053818,1.0,-10.473819675110636,False,False,False
cdd,0.15,15.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.3497671753542835,-0.06089028850139707,-0.05,-0.02053287319278403,1000000.0,-0.06699199323392208,-0.054788583768872065,1.0,-12.965688186747407,False,False,False
cdd,0.15,15.0,TAS-B,R@100,6980,0.8869149952244508,0.7474808978032473,-0.13943409742120344,-0.05,-0.04434574976122255,1000000.0,-0.14798282778071883,-0.13088536706168805,1.0,-21.804648930443292,False,False,False
cdd,0.3,30.0,BM25,RR@10,6980,0.18427616318733797,0.14694728703324691,-0.03732887615409105,-0.05,-0.009213808159366899,1000000.0,-0.04401551137624645,-0.030642240931935648,0.9999999999999999,-8.242423467432761,False,False,False
cdd,0.3,30.0,BM25,nDCG@10,6980,0.2299347532023317,0.1775371589446228,-0.05239759425770888,-0.05,-0.011496737660116586,1000000.0,-0.059284490644786,-0.045510697870631764,1.0,-11.642125359947253,False,False,False
cdd,0.3,30.0,BM25,R@100,6980,0.6777578796561604,0.4776862464183381,-0.20007163323782234,-0.05,-0.033887893982808025,1000000.0,-0.2110996315255297,-0.18904363495011497,1.0,-29.540323940945253,False,False,False
cdd,0.3,30.0,SPLADE,RR@10,6980,0.29693398371765134,0.21781132032564696,-0.07912266339200436,-0.05,-0.014846699185882568,1000000.0,-0.08616534811508308,-0.07207997866892563,1.0,-17.890965164636828,False,False,False
cdd,0.3,30.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.2543846885721841,-0.09816884043421009,-0.05,-0.01762767645031971,1000000.0,-0.10548033536477795,-0.09085734550364223,1.0,-21.594101349948406,False,False,False
cdd,0.3,30.0,SPLADE,R@100,6980,0.8166905444126075,0.5690305635148042,-0.24765998089780322,-0.05,-0.04083452722063038,1000000.0,-0.25844472214214553,-0.2368752396534609,1.0,-37.59392518562813,False,False,False
cdd,0.3,30.0,TAS-B,RR@10,6980,0.3472977213808159,0.2561958202574248,-0.09110190112339109,-0.05,-0.017364886069040793,1000000.0,-0.0988894354673183,-0.08331436677946387,1.0,-18.561325843105536,False,False,False
cdd,0.3,30.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.2980109079381938,-0.11264655591748672,-0.05,-0.02053287319278403,1000000.0,-0.12063614358672577,-0.10465696824824768,1.0,-22.600767939342955,False,False,False
cdd,0.3,30.0,TAS-B,R@100,6980,0.8869149952244508,0.6148161413562558,-0.2720988538681948,-0.05,-0.04434574976122255,1000000.0,-0.283041020916773,-0.2611566868196166,1.0,-40.802275223549124,False,False,False
cdd,0.45,45.0,BM25,RR@10,6980,0.18427616318733797,0.13142777550370674,-0.05284838768363124,-0.05,-0.009213808159366899,1000000.0,-0.06010385460638212,-0.045592920760880354,1.0,-11.789322432812444,False,False,False
cdd,0.45,45.0,BM25,nDCG@10,6980,0.2299347532023317,0.15639624377247976,-0.07353850942985193,-0.05,-0.011496737660116586,1000000.0,-0.08110894796154922,-0.06596807089815465,1.0,-16.065216071779293,False,False,False
cdd,0.45,45.0,BM25,R@100,6980,0.6777578796561604,0.39376790830945557,-0.2839899713467049,-0.05,-0.033887893982808025,1000000.0,-0.2960931201344622,-0.2718868225589476,1.0,-40.50814385508005,False,False,False
cdd,0.45,45.0,SPLADE,RR@10,6980,0.29693398371765134,0.18618996452449174,-0.1107440191931596,-0.05,-0.014846699185882568,1000000.0,-0.11884999507635612,-0.10263804330996308,1.0,-23.191272549228138,False,False,False
cdd,0.45,45.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.21505339204028157,-0.13750013696611263,-0.05,-0.01762767645031971,1000000.0,-0.14590077167442236,-0.1290995022578029,1.0,-27.97246481719916,False,False,False
cdd,0.45,45.0,SPLADE,R@100,6980,0.8166905444126075,0.4543696275071633,-0.3623209169054441,-0.05,-0.04083452722063038,1000000.0,-0.374454481159941,-0.3501873526509472,1.0,-51.93948199942071,False,False,False
cdd,0.45,45.0,TAS-B,RR@10,6980,0.3472977213808159,0.2156323623049984,-0.13166535907581753,-0.05,-0.017364886069040793,1000000.0,-0.140461161011687,-0.12286955713994804,1.0,-25.47393305185771,False,False,False
cdd,0.45,45.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.24732440814561896,-0.1633330557100616,-0.05,-0.02053287319278403,1000000.0,-0.17235223301976133,-0.15431387840036187,1.0,-31.037394365202452,False,False,False
cdd,0.45,45.0,TAS-B,R@100,6980,0.8869149952244508,0.4888490926456543,-0.39806590257879654,-0.05,-0.04434574976122255,1000000.0,-0.41009983906231273,-0.38603196609528034,1.0,-57.62029877669348,False,False,False
cdd,0.6,60.0,BM25,RR@10,6980,0.18427616318733797,0.10866318733797244,-0.07561297584936554,-0.05,-0.009213808159366899,1000000.0,-0.08347268548988794,-0.06775326620884313,1.0,-16.560732799645393,False,False,False
cdd,0.6,60.0,BM25,nDCG@10,6980,0.2299347532023317,0.1276248507172909,-0.1023099024850408,-0.05,-0.011496737660116586,1000000.0,-0.11054534658785851,-0.09407445838222307,1.0,-21.616491379747057,False,False,False
cdd,0.6,60.0,BM25,R@100,6980,0.6777578796561604,0.30198185291308494,-0.3757760267430755,-0.05,-0.033887893982808025,1000000.0,-0.38862503460372205,-0.3629270188824289,1.0,-52.16003189955011,False,False,False
cdd,0.6,60.0,SPLADE,RR@10,6980,0.29693398371765134,0.14987401646427434,-0.14705996725337697,-0.05,-0.014846699185882568,1000000.0,-0.15598382736608643,-0.1381361071406675,1.0,-29.043282776405057,False,False,False
cdd,0.6,60.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.17039132735240303,-0.18216220165399113,-0.05,-0.01762767645031971,1000000.0,-0.19137854536875334,-0.17294585793922893,1.0,-34.99627303284984,False,False,False
cdd,0.6,60.0,SPLADE,R@100,6980,0.8166905444126075,0.3408548233046801,-0.47583572110792743,-0.05,-0.04083452722063038,1000000.0,-0.488398676695125,-0.4632727655207299,1.0,-67.87690653297761,False,False,False
cdd,0.6,60.0,TAS-B,RR@10,6980,0.3472977213808159,0.1724292195388184,-0.17486850184199756,-0.05,-0.017364886069040793,1000000.0,-0.18446889428992294,-0.1652681093940722,1.0,-32.16066042037897,False,False,False
cdd,0.6,60.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.19463594577003615,-0.2160215180856444,-0.05,-0.02053287319278403,1000000.0,-0.22580131615410276,-0.20624172001718605,1.0,-39.1845681956988,False,False,False
cdd,0.6,60.0,TAS-B,R@100,6980,0.8869149952244508,0.3649474689589303,-0.5219675262655205,-0.05,-0.04434574976122255,1000000.0,-0.5343465550652817,-0.5095884974657592,1.0,-75.63467814133249,False,False,False
itn,0.15,15.0,BM25,RR@10,6980,0.18427616318733797,0.18092929913130484,-0.003346864056033109,-0.05,-0.009213808159366899,1000000.0,-0.008547441450689856,0.001853713338623639,0.013517311831842349,2.211484009396916,True,True,True
itn,0.15,15.0,BM25,nDCG@10,6980,0.2299347532023317,0.2226308898856378,-0.007303863316693895,-0.05,-0.011496737660116586,1000000.0,-0.012465125764319513,-0.002142600869068277,0.055658894863009276,1.5924995589305855,False,True,False
itn,0.15,15.0,BM25,R@100,6980,0.6777578796561604,0.6143505253104108,-0.06340735434574976,-0.05,-0.033887893982808025,1000000.0,-0.07175002429597646,-0.05506468439552307,0.9999999999978065,-6.936282429568435,False,False,False
itn,0.15,15.0,SPLADE,RR@10,6980,0.29693398371765134,0.27534474916996404,-0.021589234547687266,-0.05,-0.014846699185882568,1000000.0,-0.025533048547773253,-0.01764542054760128,0.999595888640646,-3.3514305586708915,False,False,False
itn,0.15,15.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.3250524634423248,-0.027501065564069387,-0.05,-0.01762767645031971,1000000.0,-0.03170357147585275,-0.02329855965228602,0.9999979066265658,-4.605548252914751,False,False,False
itn,0.15,15.0,SPLADE,R@100,6980,0.8166905444126075,0.7285100286532952,-0.08818051575931232,-0.05,-0.04083452722063038,1000000.0,-0.09552508393937882,-0.08083594757924582,1.0,-12.636893886563552,False,False,False
itn,0.15,15.0,TAS-B,RR@10,6980,0.3472977213808159,0.31828472506481104,-0.029012996316004912,-0.05,-0.017364886069040793,1000000.0,-0.03357119205503069,-0.024454800576979137,0.9999997202964594,-5.009402388406845,False,False,False
itn,0.15,15.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.37494399472905443,-0.03571346912662614,-0.05,-0.02053287319278403,1000000.0,-0.04043586276182806,-0.030991075491424217,0.9999999998437298,-6.301588684626216,False,False,False
itn,0.15,15.0,TAS-B,R@100,6980,0.8869149952244508,0.7904727793696275,-0.09644221585482332,-0.05,-0.04434574976122255,1000000.0,-0.10406217992167135,-0.08882225178797529,1.0,-13.402282188229243,False,False,False
itn,0.3,30.0,BM25,RR@10,6980,0.18427616318733797,0.15460448219402378,-0.02967168099331423,-0.05,-0.009213808159366899,1000000.0,-0.03628144978674398,-0.023061912199884474,0.9999999993157225,-6.067330090463524,False,False,False
itn,0.3,30.0,BM25,nDCG@10,6980,0.2299347532023317,0.18851653050615338,-0.04141822269617831,-0.05,-0.011496737660116586,1000000.0,-0.048205086734347355,-0.03463135865800926,1.0,-8.642460673966058,False,False,False
itn,0.3,30.0,BM25,R@100,6980,0.6777578796561604,0.5029011461318051,-0.1748567335243553,-0.05,-0.033887893982808025,1000000.0,-0.18618771563984804,-0.16352575140886255,1.0,-24.38815729388289,False,False,False
itn,0.3,30.0,SPLADE,RR@10,6980,0.29693398371765134,0.23732199708918905,-0.05961198662846228,-0.05,-0.014846699185882568,1000000.0,-0.06568337033825097,-0.05354060291867358,1.0,-14.45363600050513,False,False,False
itn,0.3,30.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.27609181744981787,-0.07646171155657634,-0.05,-0.01762767645031971,1000000.0,-0.0829416810780289,-0.06998174203512378,1.0,-17.79832320352015,False,False,False
itn,0.3,30.0,SPLADE,R@100,6980,0.8166905444126075,0.589087870105062,-0.22760267430754538,-0.05,-0.04083452722063038,1000000.0,-0.23828983503059228,-0.21691551358449848,1.0,-34.25814839653662,False,False,False
itn,0.3,30.0,TAS-B,RR@10,6980,0.3472977213808159,0.2720964660936008,-0.07520125528721518,-0.05,-0.017364886069040793,1000000.0,-0.08196069365596578,-0.06844181691846457,1.0,-16.773118906834046,False,False,False
itn,0.3,30.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.31640691923271874,-0.0942505446229618,-0.05,-0.02053287319278403,1000000.0,-0.10133691788614352,-0.08716417135978008,1.0,-20.392524881492722,False,False,False
itn,0.3,30.0,TAS-B,R@100,6980,0.8869149952244508,0.6366881566380135,-0.2502268385864374,-0.05,-0.04434574976122255,1000000.0,-0.26111366445382084,-0.23934001271905397,1.0,-37.07136664489942,False,False,False
itn,0.45,45.0,BM25,RR@10,6980,0.18427616318733797,0.13028766998681038,-0.053988493200527586,-0.05,-0.009213808159366899,1000000.0,-0.06138154998812839,-0.04659543641292678,1.0,-11.87221941235237,False,False,False
itn,0.45,45.0,BM25,nDCG@10,6980,0.2299347532023317,0.15708972057927928,-0.07284503262305243,-0.05,-0.011496737660116586,1000000.0,-0.08054410272778863,-0.06514596251831624,1.0,-15.620237743596737,False,False,False
itn,0.45,45.0,BM25,R@100,6980,0.6777578796561604,0.39471107927411647,-0.28304680038204394,-0.05,-0.033887893982808025,1000000.0,-0.2958446279522757,-0.2702489728118122,1.0,-38.16485163113089,False,False,False
itn,0.45,45.0,SPLADE,RR@10,6980,0.29693398371765134,0.19972597443944146,-0.09720800927820986,-0.05,-0.014846699185882568,1000000.0,-0.10475758398802255,-0.08965843456839716,1.0,-21.385734743602907,False,False,False
itn,0.45,45.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.22864963019649429,-0.1239038988098999,-0.05,-0.01762767645031971,1000000.0,-0.13185161828528397,-0.11595617933451581,1.0,-26.213016198198904,False,False,False
itn,0.45,45.0,SPLADE,R@100,6980,0.8166905444126075,0.45653056351480414,-0.36015998089780327,-0.05,-0.04083452722063038,1000000.0,-0.37227773789361807,-0.34804222390198847,1.0,-51.65765834323992,False,False,False
itn,0.45,45.0,TAS-B,RR@10,6980,0.3472977213808159,0.22684762586983215,-0.12045009551098376,-0.05,-0.017364886069040793,1000000.0,-0.1285156952802419,-0.11238449574172564,1.0,-25.05434808013918,False,False,False
itn,0.45,45.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.25903019399096106,-0.15162726986471947,-0.05,-0.02053287319278403,1000000.0,-0.16001616172511926,-0.14323837800431968,1.0,-30.63394652853463,False,False,False
itn,0.45,45.0,TAS-B,R@100,6980,0.8869149952244508,0.4901623686723974,-0.3967526265520535,-0.05,-0.04434574976122255,1000000.0,-0.40897158258204963,-0.3845336705220574,1.0,-56.5371209905913,False,False,False
itn,0.6,60.0,BM25,RR@10,6980,0.18427616318733797,0.10608706280984218,-0.07818910037749577,-0.05,-0.009213808159366899,1000000.0,-0.08609106846028323,-0.0702871322947083,1.0,-17.111248353831677,False,False,False
itn,0.6,60.0,BM25,nDCG@10,6980,0.2299347532023317,0.12597021785456036,-0.10396453534777135,-0.05,-0.011496737660116586,1000000.0,-0.11226016695477499,-0.09566890374076771,1.0,-21.85065566966389,False,False,False
itn,0.6,60.0,BM25,R@100,6980,0.6777578796561604,0.2914756446991404,-0.3862822349570201,-0.05,-0.033887893982808025,1000000.0,-0.39966430711377593,-0.3729001628002642,1.0,-51.62130448436744,False,False,False
itn,0.6,60.0,SPLADE,RR@10,6980,0.29693398371765134,0.15949896529767588,-0.13743501841997544,-0.05,-0.014846699185882568,1000000.0,-0.1459556138151706,-0.12891442302478026,1.0,-28.20347126810694,False,False,False
itn,0.6,60.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.1798909473965888,-0.1726625816098054,-0.05,-0.01762767645031971,1000000.0,-0.18153287591797695,-0.16379228730163387,1.0,-34.26217075492634,False,False,False
itn,0.6,60.0,SPLADE,R@100,6980,0.8166905444126075,0.3325334288443171,-0.48415711556829033,-0.05,-0.04083452722063038,1000000.0,-0.49665496518465985,-0.4716592659519208,1.0,-69.53572425209332,False,False,False
itn,0.6,60.0,TAS-B,RR@10,6980,0.3472977213808159,0.18223421794696867,-0.16506350343384726,-0.05,-0.017364886069040793,1000000.0,-0.17412802185777274,-0.1559989850099218,1.0,-31.941485547306275,False,False,False
itn,0.6,60.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.20447972404547207,-0.20617773981020848,-0.05,-0.02053287319278403,1000000.0,-0.2155050247655972,-0.19685045485481978,1.0,-39.01675231087403,False,False,False
itn,0.6,60.0,TAS-B,R@100,6980,0.8869149952244508,0.35500238777459414,-0.5319126074498567,-0.05,-0.04434574976122255,1000000.0,-0.5442117309448189,-0.5196134839548945,1.0,-77.71116709034938,False,False,False
perplexity,0.15,15.0,BM25,RR@10,6980,0.18427616318733797,0.17720010688133894,-0.0070760563059989985,-0.05,-0.009213808159366899,1000000.0,-0.011436720115112745,-0.002715392496885252,0.16829010745113238,0.9610104339863069,False,True,False
perplexity,0.15,15.0,BM25,nDCG@10,6980,0.2299347532023317,0.2185213324990386,-0.011413420703293127,-0.05,-0.011496737660116586,1000000.0,-0.015828612742930213,-0.006998228663656043,0.4852462414205626,0.036991949336390356,False,True,False
perplexity,0.15,15.0,BM25,R@100,6980,0.6777578796561604,0.6082020057306591,-0.06955587392550143,-0.05,-0.033887893982808025,1000000.0,-0.07753063221518955,-0.06158111563581331,1.0,-8.76767416897225,False,False,False
perplexity,0.15,15.0,SPLADE,RR@10,6980,0.29693398371765134,0.2750825487788238,-0.02185143493882749,-0.05,-0.014846699185882568,1000000.0,-0.02596795490167306,-0.01773491497598192,0.9995723305578407,-3.335684351373033,False,False,False
perplexity,0.15,15.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.3247900902711164,-0.027763438735277837,-0.05,-0.01762767645031971,1000000.0,-0.03209525204071868,-0.02343162542983699,0.9999977102982304,-4.586803152608111,False,False,False
perplexity,0.15,15.0,SPLADE,R@100,6980,0.8166905444126075,0.7314469914040115,-0.08524355300859598,-0.05,-0.04083452722063038,1000000.0,-0.09256136798419154,-0.07792573803300043,1.0,-11.896336450065315,False,False,False
perplexity,0.15,15.0,TAS-B,RR@10,6980,0.3472977213808159,0.31899002819848093,-0.028307693182335017,-0.05,-0.017364886069040793,1000000.0,-0.032922514727644264,-0.02369287163702577,0.9999982961142141,-4.648333177496023,False,False,False
perplexity,0.15,15.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.3751705624564878,-0.03548690139919277,-0.05,-0.02053287319278403,1000000.0,-0.040280856986201624,-0.030692945812183917,0.9999999994907695,-6.114875315596476,False,False,False
perplexity,0.15,15.0,TAS-B,R@100,6980,0.8869149952244508,0.7944842406876791,-0.09243075453677174,-0.05,-0.04434574976122255,1000000.0,-0.09999970323988262,-0.08486180583366086,1.0,-12.453674728915187,False,False,False
perplexity,0.3,30.0,BM25,RR@10,6980,0.18427616318733797,0.15743115249920409,-0.026845010688133896,-0.05,-0.009213808159366899,1000000.0,-0.03240339148747743,-0.021286629888790362,0.9999999997338636,-6.218090726688086,False,False,False
perplexity,0.3,30.0,BM25,nDCG@10,6980,0.2299347532023317,0.19098922514340919,-0.038945528058922506,-0.05,-0.011496737660116586,1000000.0,-0.044731114980281296,-0.033159941137563716,1.0,-9.300348123043095,False,False,False
perplexity,0.3,30.0,BM25,R@100,6980,0.6777578796561604,0.5178724928366762,-0.15988538681948425,-0.05,-0.033887893982808025,1000000.0,-0.17036644500377784,-0.14940432863519065,1.0,-23.56569151507935,False,False,False
perplexity,0.3,30.0,SPLADE,RR@10,6980,0.29693398371765134,0.24161942284076954,-0.05531456087688179,-0.05,-0.014846699185882568,1000000.0,-0.0614898482618686,-0.04913927349189497,1.0,-12.846253867137701,False,False,False
perplexity,0.3,30.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.28217501771383097,-0.07037851129256323,-0.05,-0.01762767645031971,1000000.0,-0.07682580993393849,-0.06393121265118797,1.0,-16.038914293886368,False,False,False
perplexity,0.3,30.0,SPLADE,R@100,6980,0.8166905444126075,0.618935052531041,-0.1977554918815664,-0.05,-0.04083452722063038,1000000.0,-0.20785312703564385,-0.18765785672748897,1.0,-30.463844597789652,False,False,False
perplexity,0.3,30.0,TAS-B,RR@10,6980,0.3472977213808159,0.2806083140037295,-0.06668940737708647,-0.05,-0.017364886069040793,1000000.0,-0.07341118708863206,-0.05996762766554086,1.0,-14.384740128738853,False,False,False
perplexity,0.3,30.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.32595231737213975,-0.08470514648354077,-0.05,-0.02053287319278403,1000000.0,-0.09168676951917432,-0.07772352344790723,1.0,-18.01832621043161,False,False,False
perplexity,0.3,30.0,TAS-B,R@100,6980,0.8869149952244508,0.6730420248328559,-0.21387297039159506,-0.05,-0.04434574976122255,1000000.0,-0.22421947481369545,-0.20352646596949467,1.0,-32.11953216810811,False,False,False
perplexity,0.45,45.0,BM25,RR@10,6980,0.18427616318733797,0.12720670168736073,-0.057069461499977256,-0.05,-0.009213808159366899,1000000.0,-0.06343161070022459,-0.050707312299729926,1.0,-14.745272974583246,False,False,False
perplexity,0.45,45.0,BM25,nDCG@10,6980,0.2299347532023317,0.15294073631088237,-0.0769940168914493,-0.05,-0.011496737660116586,1000000.0,-0.08375065985089437,-0.07023737393200423,1.0,-19.002717250981615,False,False,False
perplexity,0.45,45.0,BM25,R@100,6980,0.6777578796561604,0.4143147086914995,-0.2634431709646609,-0.05,-0.033887893982808025,1000000.0,-0.2756279824899122,-0.2512583594394096,1.0,-36.9310692369306,False,False,False
perplexity,0.45,45.0,SPLADE,RR@10,6980,0.29693398371765134,0.19885233319688905,-0.09808165052076227,-0.05,-0.014846699185882568,1000000.0,-0.10571513112914868,-0.09044816991237586,1.0,-21.375020508674893,False,False,False
perplexity,0.45,45.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.23016148852544374,-0.12239204048095043,-0.05,-0.01762767645031971,1000000.0,-0.13033415388568312,-0.11444992707621773,1.0,-25.858356210102343,False,False,False
perplexity,0.45,45.0,SPLADE,R@100,6980,0.8166905444126075,0.4941618911174785,-0.3225286532951289,-0.05,-0.04083452722063038,1000000.0,-0.33432640882266607,-0.3107308977675918,1.0,-46.80603094698412,False,False,False
perplexity,0.45,45.0,TAS-B,RR@10,6980,0.3472977213808159,0.23096619593396098,-0.11633152544685493,-0.05,-0.017364886069040793,1000000.0,-0.12461554582317896,-0.1080475050705309,1.0,-23.419147476989842,False,False,False
perplexity,0.45,45.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.2661381141291609,-0.14451934972651967,-0.05,-0.02053287319278403,1000000.0,-0.15307260995819177,-0.13596608949484756,1.0,-28.41620319280515,False,False,False
perplexity,0.45,45.0,TAS-B,R@100,6980,0.8869149952244508,0.5338586437440306,-0.3530563514804202,-0.05,-0.04434574976122255,1000000.0,-0.3649737493808129,-0.3411389535800275,1.0,-50.780096420884185,False,False,False
perplexity,0.6,60.0,BM25,RR@10,6980,0.18427616318733797,0.09975673125028425,-0.08451943193705369,-0.05,-0.009213808159366899,1000000.0,-0.09150959028796418,-0.0775292735861432,1.0,-21.118536226278685,False,False,False
