scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
cdd,dev.small,0.15,15.0,BM25,RR@10,0.1675145540546686,0.1842761631873379,False
cdd,dev.small,0.15,15.0,BM25,nDCG@10,0.2053392938844855,0.2299347532023317,False
cdd,dev.small,0.15,15.0,BM25,R@100,0.5707139446036293,0.6777578796561604,False
cdd,dev.small,0.15,15.0,SPLADE,RR@10,0.2548800427525344,0.2969339837176513,False
cdd,dev.small,0.15,15.0,SPLADE,nDCG@10,0.3004916570363643,0.3525535290063942,False
cdd,dev.small,0.15,15.0,SPLADE,R@100,0.6897803247373449,0.8166905444126075,False
cdd,dev.small,0.15,15.0,TAS-B,RR@10,0.2980983080911436,0.3472977213808159,False
cdd,dev.small,0.15,15.0,TAS-B,nDCG@10,0.349767175354283,0.4106574638556805,False
cdd,dev.small,0.15,15.0,TAS-B,R@100,0.7474808978032473,0.8869149952244508,False
cdd,dev.small,0.3,30.0,BM25,RR@10,0.1469472870332473,0.1842761631873379,False
cdd,dev.small,0.3,30.0,BM25,nDCG@10,0.177537158944623,0.2299347532023317,False
cdd,dev.small,0.3,30.0,BM25,R@100,0.477686246418338,0.6777578796561604,False
cdd,dev.small,0.3,30.0,SPLADE,RR@10,0.2178113203256466,0.2969339837176513,False
cdd,dev.small,0.3,30.0,SPLADE,nDCG@10,0.2543846885721866,0.3525535290063942,False
cdd,dev.small,0.3,30.0,SPLADE,R@100,0.5690305635148042,0.8166905444126075,False
cdd,dev.small,0.3,30.0,TAS-B,RR@10,0.256195820257424,0.3472977213808159,False
cdd,dev.small,0.3,30.0,TAS-B,nDCG@10,0.2980109079381969,0.4106574638556805,False
cdd,dev.small,0.3,30.0,TAS-B,R@100,0.6148161413562557,0.8869149952244508,False
cdd,dev.small,0.45,45.0,BM25,RR@10,0.131427775503707,0.1842761631873379,False
cdd,dev.small,0.45,45.0,BM25,nDCG@10,0.1563962437724795,0.2299347532023317,False
cdd,dev.small,0.45,45.0,BM25,R@100,0.3937679083094555,0.6777578796561604,False
cdd,dev.small,0.45,45.0,SPLADE,RR@10,0.1861899645244918,0.2969339837176513,False
cdd,dev.small,0.45,45.0,SPLADE,nDCG@10,0.2150533920402829,0.3525535290063942,False
cdd,dev.small,0.45,45.0,SPLADE,R@100,0.4543696275071632,0.8166905444126075,False
cdd,dev.small,0.45,45.0,TAS-B,RR@10,0.2156323623049983,0.3472977213808159,False
cdd,dev.small,0.45,45.0,TAS-B,nDCG@10,0.247324408145621,0.4106574638556805,False
cdd,dev.small,0.45,45.0,TAS-B,R@100,0.4888490926456542,0.8869149952244508,False
