scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,mean_full,mean_pruned,mean_diff_pruned_minus_full,p_noninferiority,lower_bound_absolute,retained_for_plot,config_id
cdd,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.7986786123384061,0.8059401080019636,0.0072614956635575,0.0483440579338818,-0.0399339306169203,True,cdd | test-2019_test-2020 | BM25 | RR@10 | thr=0.15
cdd,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8618106692848961,0.8489690721649484,-0.0128415971199476,0.0395746722910933,-0.0430905334642448,True,cdd | test-2019_test-2020 | SPLADE | RR@10 | thr=0.15
cdd,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9354933726067748,0.9527491408934708,0.0172557682866961,2.3751840466227503e-10,-0.0467746686303387,True,cdd | test-2019_test-2020 | TAS-B | RR@10 | thr=0.15
cdd,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9354933726067748,0.9411062019309442,0.0056128293241695,0.001369174174751,-0.0467746686303387,True,cdd | test-2019_test-2020 | TAS-B | RR@10 | thr=0.3
finetuned_qualt5_dev.small,,0.15,15.0,BM25,RR@10,0.1842761631873379,0.1981292923090917,0.0138531291217537,7.248369020703772e-24,-0.0092138081593668,True,finetuned_qualt5_dev.small | nan | BM25 | RR@10 | thr=0.15
finetuned_qualt5_dev.small,,0.15,15.0,BM25,nDCG@10,0.2299347532023317,0.2425531993801006,0.0126184461777689,3.2431963777183616e-29,-0.0114967376601165,True,finetuned_qualt5_dev.small | nan | BM25 | nDCG@10 | thr=0.15
finetuned_qualt5_dev.small,,0.15,15.0,BM25,R@100,0.6777578796561604,0.6651146131805158,-0.0126432664756447,6.886993799137879e-12,-0.033887893982808,True,finetuned_qualt5_dev.small | nan | BM25 | R@100 | thr=0.15
finetuned_qualt5_dev.small,,0.15,15.0,SPLADE,RR@10,0.2969339837176513,0.2916111224814663,-0.005322861236185,5.562140185869566e-16,-0.0148466991858825,True,finetuned_qualt5_dev.small | nan | SPLADE | RR@10 | thr=0.15
finetuned_qualt5_dev.small,,0.15,15.0,SPLADE,nDCG@10,0.3525535290063942,0.3460392397040682,-0.0065142893023259,2.7060368344422902e-20,-0.0176276764503197,True,finetuned_qualt5_dev.small | nan | SPLADE | nDCG@10 | thr=0.15
finetuned_qualt5_dev.small,,0.15,15.0,SPLADE,R@100,0.8166905444126075,0.7932784145176697,-0.0234121298949379,3.637051275127099e-16,-0.0408345272206303,True,finetuned_qualt5_dev.small | nan | SPLADE | R@100 | thr=0.15
finetuned_qualt5_dev.small,,0.15,15.0,TAS-B,RR@10,0.3472977213808159,0.3400834584072406,-0.0072142629735752,1.137779813889855e-12,-0.0173648860690407,True,finetuned_qualt5_dev.small | nan | TAS-B | RR@10 | thr=0.15
finetuned_qualt5_dev.small,,0.15,15.0,TAS-B,nDCG@10,0.4106574638556805,0.4016031820927501,-0.0090542817629303,6.343079190359066e-16,-0.020532873192784,True,finetuned_qualt5_dev.small | nan | TAS-B | nDCG@10 | thr=0.15
finetuned_qualt5_dev.small,,0.15,15.0,TAS-B,R@100,0.8869149952244508,0.860339063992359,-0.0265759312320916,2.992316541062506e-16,-0.0443457497612225,True,finetuned_qualt5_dev.small | nan | TAS-B | R@100 | thr=0.15
finetuned_qualt5_dev.small,,0.3,30.0,BM25,RR@10,0.1842761631873379,0.2007211647791877,0.0164450015918497,9.731651225767964e-22,-0.0092138081593668,True,finetuned_qualt5_dev.small | nan | BM25 | RR@10 | thr=0.3
finetuned_qualt5_dev.small,,0.3,30.0,BM25,nDCG@10,0.2299347532023317,0.2434862851842856,0.0135515319819539,4.521625058075775e-22,-0.0114967376601165,True,finetuned_qualt5_dev.small | nan | BM25 | nDCG@10 | thr=0.3
finetuned_qualt5_dev.small,,0.3,30.0,SPLADE,RR@10,0.2969339837176513,0.2865110633556192,-0.0104229203620321,0.0044659277800839,-0.0148466991858825,True,finetuned_qualt5_dev.small | nan | SPLADE | RR@10 | thr=0.3
