qrels_variant,pipeline,scorer,scorer_label,safe_pruning,criterion
dev.small,BM25,finetuned_qualt5,QualT5-Finetuned,60.0,Δ vs QualT5-Finetuned >= -0.005
dev.small,SPLADE,finetuned_qualt5,QualT5-Finetuned,60.0,Δ vs QualT5-Finetuned >= -0.005
dev.small,TAS-B,finetuned_qualt5,QualT5-Finetuned,60.0,Δ vs QualT5-Finetuned >= -0.005
test-2019_test-2020,BM25,finetuned_qualt5,QualT5-Finetuned,60.0,Δ vs QualT5-Finetuned >= -0.005
test-2019_test-2020,BM25,metadata_qualt5_allmetapj,Metadata-QualT5-ALLMETAPJ,60.0,Δ vs QualT5-Finetuned >= -0.005
test-2019_test-2020,BM25,metadata_qualt5_attfus,Metadata-QualT5-ATTFUS,15.0,Δ vs QualT5-Finetuned >= -0.005
test-2019_test-2020,BM25,metadata_qualt5_concat_v2,Metadata-QualT5-CONCAT-V2,60.0,Δ vs QualT5-Finetuned >= -0.005
test-2019_test-2020,SPLADE,finetuned_qualt5,QualT5-Finetuned,60.0,Δ vs QualT5-Finetuned >= -0.005
test-2019_test-2020,SPLADE,metadata_qualt5_allmetapj,Metadata-QualT5-ALLMETAPJ,60.0,Δ vs QualT5-Finetuned >= -0.005
test-2019_test-2020,SPLADE,metadata_qualt5_attfus,Metadata-QualT5-ATTFUS,60.0,Δ vs QualT5-Finetuned >= -0.005
test-2019_test-2020,SPLADE,metadata_qualt5_concat_v2,Metadata-QualT5-CONCAT-V2,60.0,Δ vs QualT5-Finetuned >= -0.005
test-2019_test-2020,TAS-B,finetuned_qualt5,QualT5-Finetuned,60.0,Δ vs QualT5-Finetuned >= -0.005
test-2019_test-2020,TAS-B,metadata_qualt5_allmetapj,Metadata-QualT5-ALLMETAPJ,60.0,Δ vs QualT5-Finetuned >= -0.005
test-2019_test-2020,TAS-B,metadata_qualt5_attfus,Metadata-QualT5-ATTFUS,60.0,Δ vs QualT5-Finetuned >= -0.005
test-2019_test-2020,TAS-B,metadata_qualt5_concat_v2,Metadata-QualT5-CONCAT-V2,60.0,Δ vs QualT5-Finetuned >= -0.005
