scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,selected_metric,pruning_key,baseline_value,baseline_scorer,baseline_label,delta_value,retained
finetuned_qualt5,dev.small,0.15,15.0,BM25,RR@10,0.1981292923090918,RR@10,15.0,0.1981292923090918,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,RR@10,0.2916111224814648,RR@10,15.0,0.2916111224814648,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,RR@10,0.3400834584072402,RR@10,15.0,0.3400834584072402,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,dev.small,0.3,30.0,BM25,RR@10,0.2007211647791874,RR@10,30.0,0.2007211647791874,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,dev.small,0.3,30.0,SPLADE,RR@10,0.2865110633556181,RR@10,30.0,0.2865110633556181,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,dev.small,0.3,30.0,TAS-B,RR@10,0.3326043230090497,RR@10,30.0,0.3326043230090497,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,dev.small,0.45,45.0,BM25,RR@10,0.1960431732387317,RR@10,45.0,0.1960431732387317,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,dev.small,0.45,45.0,SPLADE,RR@10,0.2732224723700359,RR@10,45.0,0.2732224723700359,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,dev.small,0.45,45.0,TAS-B,RR@10,0.3154203620321085,RR@10,45.0,0.3154203620321085,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,dev.small,0.6,60.0,BM25,RR@10,0.1884257174694139,RR@10,60.0,0.1884257174694139,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,dev.small,0.6,60.0,SPLADE,RR@10,0.2511738186200931,RR@10,60.0,0.2511738186200931,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,dev.small,0.6,60.0,TAS-B,RR@10,0.2909970095965785,RR@10,60.0,0.2909970095965785,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.5054054718443595,nDCG@10,15.0,0.5054054718443595,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5853861580462856,nDCG@10,15.0,0.5853861580462856,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6937247182640282,nDCG@10,15.0,0.6937247182640282,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4996544494301745,nDCG@10,30.0,0.4996544494301745,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5782938777862627,nDCG@10,30.0,0.5782938777862627,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6795804993247979,nDCG@10,30.0,0.6795804993247979,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.4894735090426124,nDCG@10,45.0,0.4894735090426124,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5662914699082666,nDCG@10,45.0,0.5662914699082666,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6614008480746695,nDCG@10,45.0,0.6614008480746695,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4698592256263194,nDCG@10,60.0,0.4698592256263194,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5212256099225002,nDCG@10,60.0,0.5212256099225002,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.602788613110302,nDCG@10,60.0,0.602788613110302,finetuned_qualt5,QualT5-Finetuned,0.0,1.0
