scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent,selected_metric,delta_value,retained
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.5054054718443595,0.4873823836823968,True,nDCG@10,0.018023088161962686,1.0369793590523113
finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5853861580462856,0.5903063303445052,True,nDCG@10,-0.004920172298219616,0.9916650524561575
finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6937247182640282,0.697936757957595,True,nDCG@10,-0.004212039693566871,0.9939650123803584
finetuned_qualt5,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4996544494301745,0.4873823836823968,True,nDCG@10,0.012272065747777727,1.025179543123936
finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5782938777862627,0.5903063303445052,True,nDCG@10,-0.012012452558242459,0.9796504764717127
finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6795804993247979,0.697936757957595,True,nDCG@10,-0.018356258632797107,0.9736992522266431
finetuned_qualt5,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.4894735090426124,0.4873823836823968,False,nDCG@10,0.0020911253602156066,1.0042905230681836
finetuned_qualt5,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5662914699082666,0.5903063303445052,False,nDCG@10,-0.024014860436238572,0.9593179689903996
finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6614008480746695,0.697936757957595,False,nDCG@10,-0.036535909882925544,0.9476515465529538
finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4698592256263194,0.4873823836823968,False,nDCG@10,-0.017523158056077404,0.9640463860764069
finetuned_qualt5,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5212256099225002,0.5903063303445052,False,nDCG@10,-0.06908072042200497,0.882974793135474
finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.602788613110302,0.697936757957595,False,nDCG@10,-0.09514814484729306,0.8636722543089298
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.504117814228592,0.4873823836823968,True,nDCG@10,0.01673543054619525,1.0343373726800533
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5875445922458298,0.5903063303445052,True,nDCG@10,-0.0027617380986754148,0.9953215170552827
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6962167301436933,0.697936757957595,True,nDCG@10,-0.0017200278139016811,0.9975355534806118
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.5036508351076413,0.4873823836823968,True,nDCG@10,0.016268451425244523,1.0333792356267146
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5769041201700935,0.5903063303445052,True,nDCG@10,-0.013402210174411677,0.9772961774497826
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6787425887670951,0.697936757957595,True,nDCG@10,-0.019194169190499877,0.9724986985258254
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.4887505408558479,0.4873823836823968,False,nDCG@10,0.0013681571734511233,1.0028071535189969
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5597589944119342,0.5903063303445052,False,nDCG@10,-0.030547335932570974,0.9482517222630097
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6560914488542653,0.697936757957595,False,nDCG@10,-0.04184530910332973,0.940044268157213
metadata_qualt5_allmetapj,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4659806001896914,0.4873823836823968,False,nDCG@10,-0.021401783492705384,0.9560883113357419
metadata_qualt5_allmetapj,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5253841176434497,0.5903063303445052,False,nDCG@10,-0.06492221270105547,0.8900194536908208
metadata_qualt5_allmetapj,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.6140530651766453,0.697936757957595,False,nDCG@10,-0.08388369278094976,0.8798119001119492
metadata_qualt5_attfus,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.5052698230341962,0.4873823836823968,True,nDCG@10,0.017887439351799428,1.0367010379338122
metadata_qualt5_attfus,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5869208430594187,0.5903063303445052,True,nDCG@10,-0.003385487285086475,0.9942648636630567
metadata_qualt5_attfus,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6992031870580457,0.697936757957595,True,nDCG@10,0.0012664291004507167,1.0018145327438501
metadata_qualt5_attfus,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4942402757033147,0.4873823836823968,True,nDCG@10,0.006857892020917911,1.014070865608854
metadata_qualt5_attfus,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5750315026852221,0.5903063303445052,True,nDCG@10,-0.015274827659283119,0.974123896570161
metadata_qualt5_attfus,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6756659504204786,0.697936757957595,False,nDCG@10,-0.02227080753711641,0.9680905077957371
metadata_qualt5_attfus,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.477645627600737,0.4873823836823968,False,nDCG@10,-0.009736756081659803,0.9800223471187158
metadata_qualt5_attfus,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5663547252664968,0.5903063303445052,False,nDCG@10,-0.02395160507800842,0.9594251258257215
metadata_qualt5_attfus,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6573965506610457,0.697936757957595,False,nDCG@10,-0.04054020729654928,0.9419142109448656
metadata_qualt5_attfus,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4577304031407518,0.4873823836823968,False,nDCG@10,-0.029651980541644973,0.9391607461935519
metadata_qualt5_attfus,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5335436083130276,0.5903063303445052,False,nDCG@10,-0.056762722031477586,0.9038419222129117
metadata_qualt5_attfus,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.6177782342345907,0.697936757957595,False,nDCG@10,-0.08015852372300436,0.8851493021264907
metadata_qualt5_concat_v2,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.5038975321939494,0.4873823836823968,True,nDCG@10,0.016515148511552613,1.0338854030520617
metadata_qualt5_concat_v2,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5805667273280678,0.5903063303445052,True,nDCG@10,-0.009739603016437393,0.9835007647457324
metadata_qualt5_concat_v2,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6953445153513881,0.697936757957595,True,nDCG@10,-0.0025922426062069404,0.9962858488585803
metadata_qualt5_concat_v2,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4955309606289416,0.4873823836823968,True,nDCG@10,0.008148576946544805,1.0167190633460705
metadata_qualt5_concat_v2,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.577639686444579,0.5903063303445052,True,nDCG@10,-0.012666643899926222,0.9785422529815427
metadata_qualt5_concat_v2,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6768625625932118,0.697936757957595,False,nDCG@10,-0.021074195364383264,0.9698050072243599
metadata_qualt5_concat_v2,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.4823279274641097,0.4873823836823968,False,nDCG@10,-0.005054456218287096,0.9896293826213037
metadata_qualt5_concat_v2,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5639976012271303,0.5903063303445052,False,nDCG@10,-0.026308729117374918,0.9554320735438818
metadata_qualt5_concat_v2,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6565124773653148,0.697936757957595,False,nDCG@10,-0.041424280592280205,0.9406475155234666
metadata_qualt5_concat_v2,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4685520450429626,0.4873823836823968,False,nDCG@10,-0.018830338639434174,0.9613643429268773
metadata_qualt5_concat_v2,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5216666717847652,0.5903063303445052,False,nDCG@10,-0.06863965855973997,0.8837219676778977
metadata_qualt5_concat_v2,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.6055607830072196,0.697936757957595,False,nDCG@10,-0.09237597495037542,0.8676442042962467
