scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value
finetuned_qualt5,dev.small,0.15,15.0,BM25,RR@10,0.1981292923090918
finetuned_qualt5,dev.small,0.15,15.0,BM25,nDCG@10,0.242553199380103
finetuned_qualt5,dev.small,0.15,15.0,BM25,R@100,0.6651146131805158
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,RR@10,0.2916111224814648
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,nDCG@10,0.3460392397040681
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,R@100,0.7932784145176697
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,RR@10,0.3400834584072402
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,nDCG@10,0.4016031820927455
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,R@100,0.8603390639923592
finetuned_qualt5,dev.small,0.3,30.0,BM25,RR@10,0.2007211647791874
finetuned_qualt5,dev.small,0.3,30.0,BM25,nDCG@10,0.2434862851842873
finetuned_qualt5,dev.small,0.3,30.0,BM25,R@100,0.6394102196752626
finetuned_qualt5,dev.small,0.3,30.0,SPLADE,RR@10,0.2865110633556181
finetuned_qualt5,dev.small,0.3,30.0,SPLADE,nDCG@10,0.3376714878794095
finetuned_qualt5,dev.small,0.3,30.0,SPLADE,R@100,0.7534264565425024
finetuned_qualt5,dev.small,0.3,30.0,TAS-B,RR@10,0.3326043230090497
finetuned_qualt5,dev.small,0.3,30.0,TAS-B,nDCG@10,0.3905147210561426
finetuned_qualt5,dev.small,0.3,30.0,TAS-B,R@100,0.8148638968481375
finetuned_qualt5,dev.small,0.45,45.0,BM25,RR@10,0.1960431732387317
finetuned_qualt5,dev.small,0.45,45.0,BM25,nDCG@10,0.2349275573261909
finetuned_qualt5,dev.small,0.45,45.0,BM25,R@100,0.591893505253104
finetuned_qualt5,dev.small,0.45,45.0,SPLADE,RR@10,0.2732224723700359
finetuned_qualt5,dev.small,0.45,45.0,SPLADE,nDCG@10,0.3193675608021902
finetuned_qualt5,dev.small,0.45,45.0,SPLADE,R@100,0.6890401146131805
finetuned_qualt5,dev.small,0.45,45.0,TAS-B,RR@10,0.3154203620321085
finetuned_qualt5,dev.small,0.45,45.0,TAS-B,nDCG@10,0.3671228631329101
finetuned_qualt5,dev.small,0.45,45.0,TAS-B,R@100,0.7405682903533906
finetuned_qualt5,dev.small,0.6,60.0,BM25,RR@10,0.1884257174694139
finetuned_qualt5,dev.small,0.6,60.0,BM25,nDCG@10,0.2221454996087394
finetuned_qualt5,dev.small,0.6,60.0,BM25,R@100,0.5248567335243552
finetuned_qualt5,dev.small,0.6,60.0,SPLADE,RR@10,0.2511738186200931
finetuned_qualt5,dev.small,0.6,60.0,SPLADE,nDCG@10,0.2909566052883653
finetuned_qualt5,dev.small,0.6,60.0,SPLADE,R@100,0.5978032473734478
finetuned_qualt5,dev.small,0.6,60.0,TAS-B,RR@10,0.2909970095965785
finetuned_qualt5,dev.small,0.6,60.0,TAS-B,nDCG@10,0.3347545705350044
finetuned_qualt5,dev.small,0.6,60.0,TAS-B,R@100,0.6365329512893982
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.8098469972181314
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.5054054718443595
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,R@100,0.4655113733661825
finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8653330060546557
finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5853861580462856
finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,R@100,0.4520200962103824
finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9396170839469808
finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6937247182640282
finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,R@100,0.5310193453917942
finetuned_qualt5,test-2019_test-2020,0.3,30.0,BM25,RR@10,0.8072164948453608
finetuned_qualt5,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4996544494301745
finetuned_qualt5,test-2019_test-2020,0.3,30.0,BM25,R@100,0.4412626946380595
finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8618965799378171
finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5782938777862627
finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,R@100,0.4210102864246919
finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9396170839469808
finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6795804993247979
finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,R@100,0.4922945227505915
finetuned_qualt5,test-2019_test-2020,0.45,45.0,BM25,RR@10,0.8228522336769759
finetuned_qualt5,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.4894735090426124
finetuned_qualt5,test-2019_test-2020,0.45,45.0,BM25,R@100,0.4007008853882154
finetuned_qualt5,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.8533055146457209
finetuned_qualt5,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5662914699082666
finetuned_qualt5,test-2019_test-2020,0.45,45.0,SPLADE,R@100,0.3829541555486036
finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.937039764359352
finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6614008480746695
finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,R@100,0.4382103987077241
finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.8263745704467353
finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4698592256263194
finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,R@100,0.3354455449212889
finetuned_qualt5,test-2019_test-2020,0.6,60.0,SPLADE,RR@10,0.827348224513173
finetuned_qualt5,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5212256099225002
finetuned_qualt5,test-2019_test-2020,0.6,60.0,SPLADE,R@100,0.3135840677495256
finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,0.8968335787923416
finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.602788613110302
finetuned_qualt5,test-2019_test-2020,0.6,60.0,TAS-B,R@100,0.3568177898464305
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.8104197349042711
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.504117814228592
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,BM25,R@100,0.4604674272819952
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8584601538209787
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5875445922458298
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,SPLADE,R@100,0.4498004477463541
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9396170839469808
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6962167301436933
metadata_qualt5_allmetapj,test-2019_test-2020,0.15,15.0,TAS-B,R@100,0.5269270522874306
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,BM25,RR@10,0.8064555719194894
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.5036508351076413
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,BM25,R@100,0.4325704843997735
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8608492881688758
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5769041201700935
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,SPLADE,R@100,0.4219003632169031
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9421944035346096
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6787425887670951
metadata_qualt5_allmetapj,test-2019_test-2020,0.3,30.0,TAS-B,R@100,0.4916246264002033
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,BM25,RR@10,0.815750286368843
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.4887505408558479
metadata_qualt5_allmetapj,test-2019_test-2020,0.45,45.0,BM25,R@100,0.3944071946530481
